year,month,total_kwh,avg_daily_kwh,max_daily_kwh,min_daily_kwh,stddev_kwh,days_count
2023,1,631.2780166666666,37.13400098039216,56.7877,24.674,10.460433802648899,17
2023,2,941.6138000000002,33.62906428571429,67.16203333333334,8.362333333333334,17.275974102448508,28
2023,3,981.0453500000001,31.64662419354839,58.49183333333334,8.5948,12.969390257128541,31
2023,4,587.0817666666667,20.244198850574712,46.43253333333333,0.8688372359470103,10.076874973030053,29
2023,5,733.4811999999998,23.660683870967738,35.8968,11.798066666666667,6.083693455556059,31
2023,6,595.56885,19.852295,35.80076666666666,7.959433333333334,7.4631457106127925,30
2023,7,497.24796666666657,16.040256989247307,27.031033333333333,5.351933333333333,4.614643858181004,31
2023,8,568.6765833333334,18.344405913978495,27.608566666666665,5.799333333333333,4.130913135383535,31
2023,9,698.0306999999998,23.267689999999995,38.27536666666666,15.024566666666669,5.014486203245576,30
2023,10,821.3569,26.495383870967743,36.647733333333335,8.535966666666667,7.227693143242823,31
2023,11,932.0349333333332,31.067831111111108,46.68353333333334,8.209166666666667,8.901293212162141,30
2023,12,1210.0933333333332,39.0352688172043,54.982600000000005,26.467699999999997,7.445394937269695,31
2024,1,1086.2305166666665,35.0396940860215,48.10175,25.168466666666667,6.922490197251795,31
2024,2,822.3008166666667,28.355200574712647,49.00745,8.408133333333334,9.927824263368835,29
2024,3,926.5365999999999,29.888277419354836,41.72013333333334,17.342499999999998,6.5925968010948806,31
2024,4,803.4998666666667,26.78332888888889,46.666900000000005,10.9842,8.319702130829366,30
2024,5,762.0812333333336,24.583265591397858,35.278299999999994,9.600233333333334,5.450780976279378,31
2024,6,715.7448333333333,23.85816111111111,38.1517,12.4892,5.9866314869501345,30
2024,7,591.3049666666668,19.074353763440865,30.0844,12.337366666666666,3.660308521611738,31
2024,8,205.73795000000004,6.636708064516131,25.0405,4.171633333333333,4.733492625560786,31
2024,9,711.1298666666668,23.70432888888889,35.457433333333334,14.566,4.23831979960625,30
2024,10,846.1872833333332,27.296363978494618,37.319833333333335,8.724866666666665,6.780130975136232,31
2024,11,998.95025,33.298341666666666,56.790083333333335,13.841633333333334,11.386082620629777,30
2024,12,949.4913666666664,30.62875376344085,49.53606666666667,9.254633333333334,8.070822515725798,31
2025,1,1049.2550833333332,33.84693817204301,55.297,20.6226,9.34000139304573,31
2025,2,837.9600333333332,29.92714404761904,52.19226666666667,12.2878,9.68031735570933,28
2025,3,912.7878999999999,29.444770967741935,41.20868333333333,19.858866666666664,5.787082721099749,31
2025,4,821.2790666666668,27.375968888888895,41.04076666666666,19.024333333333335,5.293898009922224,30
2025,5,753.5411500000002,24.307779032258072,33.4563,15.948166666666667,4.279619194992419,31
2025,6,561.535,19.363275862068964,28.4842,0.5937758015728978,5.212374793231005,29
2025,7,459.9342,14.836587096774192,23.51226666666667,8.2791,4.250969096045239,31
2025,8,485.09273333333334,15.648152688172043,27.8057,8.162066666666666,5.637400974725421,31
2025,9,710.5603666666667,23.685345555555557,35.595166666666664,16.342266666666667,5.0280177550115495,30
2025,10,851.4884500000002,27.467369354838716,45.70133333333333,18.539066666666667,6.774987586863164,31
2025,11,917.8394499999999,30.594648333333332,43.98623333333333,23.000433333333337,6.509686229692553,30
2025,12,1015.1647333333333,32.74724946236559,48.43156666666666,19.069433333333333,5.915997219710305,31
2026,1,993.273133333333,33.109104444444434,47.3788,12.158262406815762,7.762155787226507,30
2026,2,924.6164999999997,33.02201785714285,48.38356666666667,11.8611,7.730988016268943,28
2026,3,804.2062999999998,25.942138709677415,42.6183,2.6290234714003944,8.519774383796479,31
2026,4,739.6415833333331,24.654719444444435,31.20296666666667,14.4643,4.3939963646164,30
2026,5,814.9015333333332,26.287146236559135,36.46516666666666,19.23163333333333,4.775077051390568,31
2026,6,698.1338333333333,23.271127777777778,33.49406666666667,16.348300000000002,4.624439882353805,30
2026,7,536.5067166666668,17.306668279569895,27.26355,9.151733333333334,4.484717333151089,31
2026,8,369.9495666666666,13.701835802469134,33.844166666666666,2.210696845163968,7.388273151752482,27
2026,9,607.6410666666666,21.701466666666665,29.064,1.925530316914853,5.641809893115136,28
2026,10,865.5785000000001,27.921887096774196,45.2314,15.765066666666666,7.020162814080479,31
2026,11,743.3064666666668,28.58871025641026,42.58576666666667,15.015166666666666,5.677934388840672,26
