datetime,energy_kwh,avg_voltage,avg_intensity,avg_reactive_power,sub_metering_1,sub_metering_2,sub_metering_3,year,month,day,day_of_week,day_of_year,week_of_year,quarter,is_weekend,season,lag_1,lag_2,lag_3,lag_7,lag_14,lag_21,lag_30,rolling_mean_3,rolling_std_3,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,ewm_7,ewm_30,anomaly_prediction,anomaly_score,cluster
2023-01-15,35.811299999999996,241.2409097222222,6.261527777777778,0.1214305555555555,1099.0,2239.0,15163.0,2023,1,15,6,15,2,1,1,0,50.183816666666665,53.113566666666664,24.354933333333335,37.356,45.81673333333333,45.718666666666664,20.152933333333333,42.55077222222223,15.825999918438836,38.52273095238095,10.10767372232066,37.072160714285715,12.040742585477313,40.537456111111105,14.388488925019598,41.33039301142472,40.05574217186369,1,0.1523243376663389,0
2023-01-16,28.106733333333334,241.9447569444445,4.975972222222222,0.1287694444444444,2063.0,644.0,6583.0,2023,1,16,0,16,3,1,0,0,35.811299999999996,50.183816666666665,53.113566666666664,31.1509,21.153933333333335,65.5685,56.507666666666665,46.3695611111111,9.260319488733971,38.302059523809525,10.154146394453196,36.357486904761906,11.775805915328164,41.059401666666666,13.899224439585138,39.95043493171987,39.74224684746645,1,0.1624430924253382,0
2023-01-17,47.46146666666667,241.00525,8.283888888888889,0.1394111111111111,3500.0,5737.0,16064.0,2023,1,17,1,17,3,1,0,0,28.106733333333334,35.811299999999996,50.183816666666665,35.913333333333334,16.9009,25.479333333333333,36.73043333333333,38.03395,11.205111864395247,37.86717857142857,10.5682060721136,36.85411547619048,11.218730212622532,40.11270388888889,13.777418287766611,36.98921207010369,38.890801517015056,1,0.0923593059069544,0
2023-01-18,30.3577,240.89359722222224,5.3425,0.1234111111111111,0.0,336.0,13491.0,2023,1,18,2,18,3,1,0,0,47.46146666666667,28.106733333333334,35.811299999999996,37.58656666666666,54.32353333333333,34.54396666666666,27.7699,37.1265,9.744164350066717,39.516911904761905,11.100325744756136,39.037013095238095,9.93770327053769,40.470405,13.825796034091692,39.6074729772389,39.51258733641167,1,0.1312265863168631,0
2023-01-19,24.674,240.16094444444445,4.37625,0.1180916666666666,2103.0,330.0,7172.0,2023,1,19,3,19,3,1,0,0,30.3577,47.46146666666667,28.106733333333334,24.354933333333335,45.22273333333333,52.90653333333333,37.0958,35.30863333333334,10.584669633694023,38.48421666666666,11.633307810139945,37.32516785714286,9.133540382564387,40.556664999999995,13.751698572009532,37.29489906212074,38.85370939887638,1,0.122623110738975,0
2023-01-20,52.22886666666667,238.8674722222222,9.348055555555556,0.1655291666666666,4324.0,5222.0,11440.0,2023,1,20,4,20,3,1,0,0,24.674,30.3577,47.46146666666667,53.113566666666664,25.139633333333332,46.7056,28.618566666666663,34.16438888888889,11.861084246126223,38.52979761904761,11.569168776946947,35.85740119047619,9.413574653450636,40.142605,14.04341210784574,34.139540577650365,37.84074521684102,1,0.0394364294308555,0
2023-01-21,56.7877,238.9681180555556,10.190694444444444,0.1595388888888888,10346.0,5567.0,11599.0,2023,1,21,5,21,3,1,1,0,52.22886666666667,24.674,30.3577,50.183816666666665,40.79366666666667,58.2366,39.0223,35.75352222222222,14.548327819540456,38.40341190476191,11.386690745724586,37.79234642857143,9.816540953472575,40.929615000000005,14.036894740421932,38.66201584124213,38.861532518886534,1,0.0135036113957207,0
2023-01-22,36.34156666666667,241.60313194444444,6.355277777777778,0.1171125,1054.0,2983.0,11361.0,2023,1,22,6,22,3,1,1,0,56.7877,52.22886666666667,24.674,35.811299999999996,37.356,45.81673333333333,79.55643333333335,44.563522222222225,17.374998158603685,39.34682380952381,12.720811603383773,38.934777380952376,11.046341709725327,41.521795,14.325427958273533,43.19354490275778,40.125205984645895,1,0.1059003733740475,0
2023-01-23,29.627333333333336,242.76255555555556,5.260833333333333,0.0960277777777777,0.0,1064.0,5061.0,2023,1,23,0,23,4,1,0,0,36.34156666666667,56.7877,52.22886666666667,28.106733333333334,31.1509,21.153933333333335,42.5002,48.452711111111114,10.73338740360776,39.42257619047619,12.697806634855905,38.862317857142855,11.060812133272188,40.08129944444444,12.414214500840671,41.48051971763072,39.86006977026004,1,0.1213236001571009,0
2023-01-24,49.79756666666666,241.45769444444448,8.733611111111111,0.1236527777777777,3464.0,2480.0,11744.0,2023,1,24,1,24,4,1,0,0,29.627333333333336,36.34156666666667,56.7877,47.46146666666667,35.913333333333334,16.9009,45.718666666666664,40.918866666666666,14.146912590188863,39.63980476190476,12.483148142691457,38.75349166666667,11.149658550995756,39.65220388888888,12.549460170000264,38.51718338683081,39.14698054944293,1,0.0319791984090511,0
2023-01-25,26.605733333333333,243.42436111111112,4.629305555555556,0.1001111111111111,1158.0,262.0,11239.0,2023,1,25,2,25,4,1,0,0,49.79756666666666,29.627333333333336,36.34156666666667,30.3577,37.58656666666666,54.32353333333333,65.5685,38.58882222222223,10.27118281062405,39.97353333333334,12.75536510623406,39.74522261904762,11.489892497153187,39.78816722222222,12.639226570363492,41.33730756760876,39.885370326483155,1,0.1000967782480858,0
2023-01-26,26.9662,242.77179166666667,4.721388888888889,0.0992374999999999,1163.0,261.0,8238.0,2023,1,26,3,26,4,1,0,0,26.605733333333333,49.79756666666666,29.627333333333336,24.674,24.354933333333335,45.22273333333333,25.479333333333333,35.34354444444445,12.608393451997363,39.4375380952381,13.294226966611802,38.96087738095239,12.011541896740932,38.48940833333333,11.877679975150173,37.65438623083085,38.96912162515002,1,0.103360426216446,0
2023-01-27,34.06786666666667,241.6165694444444,5.949861111111111,0.1029458333333333,1170.0,3896.0,12374.0,2023,1,27,4,27,4,1,0,0,26.9662,26.605733333333333,49.79756666666666,52.22886666666667,53.113566666666664,25.139633333333332,34.54396666666666,34.4565,13.286975912816937,39.76499523809524,12.89211932003465,39.147396428571426,11.785435720421145,38.53897055555556,11.82450371130608,34.98232455772677,38.14465576461247,1,0.1029499676933687,0
2023-01-28,51.54041666666667,240.30152083333337,9.133888888888889,0.1066861111111111,3466.0,3997.5,12061.0,2023,1,28,5,28,4,1,1,0,34.06786666666667,26.9662,26.605733333333333,56.7877,50.183816666666665,40.79366666666667,52.90653333333333,29.21326666666667,4.208068431530574,37.170566666666666,11.741892302476757,37.78698928571429,11.130319788495356,38.52310055555555,11.830368447854935,34.75370911503287,37.86578976333947,1,0.0564479906648081,0
2023-01-29,33.0444,240.9295972222222,5.788888888888889,0.1150666666666666,1123.0,294.0,15254.0,2023,1,29,6,29,4,1,1,0,51.54041666666667,34.06786666666667,26.9662,36.34156666666667,35.811299999999996,37.356,46.7056,37.52482777777778,12.646579232656958,36.42095476190476,10.36789477030072,37.88388928571429,11.25179036281723,38.477563333333336,11.775597329974769,38.950399356668655,38.79755797000204,1,0.1841528026347243,0
2023-01-30,28.4633,241.840875,5.028194444444445,0.1256486111111111,1123.0,1424.0,8149.0,2023,1,30,0,30,5,1,0,0,33.0444,51.54041666666667,34.06786666666667,29.627333333333336,28.106733333333334,31.1509,58.2366,39.55089444444445,10.395833460685807,35.94993095238095,10.446699856850184,37.686253571428566,11.315117235653766,38.02219,11.71040476359686,37.47389599386343,38.40696144180936,1,0.1862846287232069,0
