datetime,energy_kwh,avg_voltage,avg_intensity,avg_reactive_power,sub_metering_1,sub_metering_2,sub_metering_3,year,month,day,day_of_week,quarter,is_weekend,season,energy_kwh_lag7,energy_kwh_lag14,energy_kwh_lag30,energy_kwh_ma7,energy_kwh_ma30
2023-01-15T00:00:00.000+05:30,35.811299999999996,241.2409097222222,6.261527777777778,0.1214305555555555,1099.0,2239.0,15163.0,2023,1,15,1,1,1,winter,37.356,45.81673333333333,20.152933333333333,38.302059523809525,41.05940166666666
2023-01-16T00:00:00.000+05:30,28.106733333333334,241.9447569444445,4.975972222222222,0.1287694444444444,2063.0,644.0,6583.0,2023,1,16,2,1,0,winter,31.1509,21.153933333333335,56.507666666666665,37.86717857142857,40.11270388888888
2023-01-17T00:00:00.000+05:30,47.46146666666667,241.00525,8.283888888888889,0.1394111111111111,3500.0,5737.0,16064.0,2023,1,17,3,1,0,winter,35.913333333333334,16.9009,36.73043333333333,39.516911904761905,40.470405
2023-01-18T00:00:00.000+05:30,30.3577,240.89359722222224,5.3425,0.1234111111111111,0.0,336.0,13491.0,2023,1,18,4,1,0,winter,37.58656666666666,54.32353333333333,27.7699,38.48421666666667,40.556664999999995
2023-01-19T00:00:00.000+05:30,24.674,240.16094444444445,4.37625,0.1180916666666666,2103.0,330.0,7172.0,2023,1,19,5,1,0,winter,24.354933333333335,45.22273333333333,37.0958,38.52979761904761,40.142604999999996
2023-01-20T00:00:00.000+05:30,52.22886666666667,238.8674722222222,9.348055555555556,0.1655291666666666,4324.0,5222.0,11440.0,2023,1,20,6,1,0,winter,53.113566666666664,25.139633333333332,28.618566666666663,38.4034119047619,40.92961499999999
2023-01-21T00:00:00.000+05:30,56.7877,238.9681180555556,10.190694444444444,0.1595388888888888,10346.0,5567.0,11599.0,2023,1,21,7,1,1,winter,50.183816666666665,40.79366666666667,39.0223,39.34682380952381,41.52179499999999
2023-01-22T00:00:00.000+05:30,36.34156666666667,241.60313194444444,6.355277777777778,0.1171125,1054.0,2983.0,11361.0,2023,1,22,1,1,1,winter,35.811299999999996,37.356,79.55643333333335,39.4225761904762,40.08129944444443
2023-01-23T00:00:00.000+05:30,29.627333333333336,242.76255555555556,5.260833333333333,0.0960277777777777,0.0,1064.0,5061.0,2023,1,23,2,1,0,winter,28.106733333333334,31.1509,42.5002,39.63980476190476,39.65220388888888
2023-01-24T00:00:00.000+05:30,49.79756666666666,241.45769444444448,8.733611111111111,0.1236527777777777,3464.0,2480.0,11744.0,2023,1,24,3,1,0,winter,47.46146666666667,35.913333333333334,45.718666666666664,39.97353333333333,39.788167222222214
2023-01-25T00:00:00.000+05:30,26.605733333333333,243.42436111111112,4.629305555555556,0.1001111111111111,1158.0,262.0,11239.0,2023,1,25,4,1,0,winter,30.3577,37.58656666666666,65.5685,39.43753809523809,38.48940833333332
2023-01-26T00:00:00.000+05:30,26.9662,242.77179166666667,4.721388888888889,0.0992374999999999,1163.0,261.0,8238.0,2023,1,26,5,1,0,winter,24.674,24.354933333333335,25.479333333333333,39.76499523809524,38.53897055555555
2023-01-27T00:00:00.000+05:30,34.06786666666667,241.6165694444444,5.949861111111111,0.1029458333333333,1170.0,3896.0,12374.0,2023,1,27,6,1,0,winter,52.22886666666667,53.113566666666664,34.54396666666666,37.170566666666666,38.52310055555556
2023-01-28T00:00:00.000+05:30,51.54041666666667,240.30152083333337,9.133888888888889,0.1066861111111111,3466.0,3997.5,12061.0,2023,1,28,7,1,1,winter,56.7877,50.183816666666665,52.90653333333333,36.420954761904774,38.477563333333336
2023-01-29T00:00:00.000+05:30,33.0444,240.9295972222222,5.788888888888889,0.1150666666666666,1123.0,294.0,15254.0,2023,1,29,1,1,1,winter,36.34156666666667,35.811299999999996,46.7056,35.94993095238095,38.02219
2023-01-30T00:00:00.000+05:30,28.4633,241.840875,5.028194444444445,0.1256486111111111,1123.0,1424.0,8149.0,2023,1,30,2,1,0,winter,29.627333333333336,28.106733333333334,58.2366,35.78364047619048,37.02974666666666
2023-01-31T00:00:00.000+05:30,39.39586666666666,239.92113194444445,6.923611111111111,0.1291583333333333,0.0,5950.0,15052.0,2023,1,31,3,1,0,winter,49.79756666666666,47.46146666666667,45.81673333333333,34.29768333333334,36.81571777777778
2023-02-01T00:00:00.000+05:30,30.412666666666667,240.3921388888889,5.3325000000000005,0.10435,1170.0,386.0,13145.0,2023,2,1,4,1,0,winter,26.605733333333333,30.3577,21.153933333333335,34.84153095238095,37.124342222222225
2023-02-02T00:00:00.000+05:30,27.7956,240.3343888888889,4.870833333333334,0.0969041666666666,0.0,356.0,11338.0,2023,2,2,5,1,0,winter,26.9662,24.674,16.9009,34.96001666666667,37.48749888888889
2023-02-03T00:00:00.000+05:30,67.16203333333334,238.91019444444444,11.81597222222222,0.1707111111111111,4746.0,4573.0,17834.0,2023,2,3,6,1,0,winter,34.06786666666667,52.22886666666667,54.32353333333333,39.68775476190477,37.91544888888889
2023-02-04T00:00:00.000+05:30,59.93233333333333,239.63333333333333,10.565416666666668,0.1295097222222222,3391.0,4597.0,14472.0,2023,2,4,7,1,1,winter,51.54041666666667,56.7877,45.22273333333333,40.8866,38.405768888888886
2023-02-05T00:00:00.000+05:30,27.421333333333333,240.8103125,4.820416666666667,0.1022416666666666,896.0,2564.0,7849.0,2023,2,5,1,1,1,winter,33.0444,36.34156666666667,25.139633333333332,40.083304761904756,38.48182555555556
2023-02-06T00:00:00.000+05:30,21.224666666666668,241.26415972222225,3.7719444444444448,0.0990041666666666,1185.0,405.0,4517.0,2023,2,6,2,1,0,winter,28.4633,29.627333333333336,40.79366666666667,39.049214285714285,37.829525555555556
2023-02-07T00:00:00.000+05:30,38.8003,241.14969444444444,6.791666666666667,0.1234083333333333,3299.0,3513.0,11986.0,2023,2,7,3,1,0,winter,39.39586666666666,49.79756666666666,37.356,38.964133333333336,37.8776688888889
2023-02-08T00:00:00.000+05:30,30.023566666666667,241.7973055555555,5.248333333333334,0.0964555555555555,2226.0,366.0,10157.0,2023,2,8,4,1,0,winter,30.412666666666667,26.605733333333333,31.1509,38.908547619047624,37.840091111111114
2023-02-09T00:00:00.000+05:30,27.003300000000003,241.74044444444445,4.727222222222222,0.1097680555555555,0.0,3045.0,9770.0,2023,2,9,5,1,0,winter,27.7956,26.9662,35.913333333333334,38.79536190476191,37.543090000000014
2023-02-10T00:00:00.000+05:30,47.15546666666667,240.0368263888889,8.303749999999999,0.1340097222222222,5071.0,2831.0,14405.0,2023,2,10,6,1,0,winter,67.16203333333334,34.06786666666667,37.58656666666666,35.93728095238095,37.86205333333333
2023-02-11T00:00:00.000+05:30,59.52046666666667,239.5061458333333,10.526805555555557,0.1418847222222222,2430.0,4765.0,13114.0,2023,2,11,7,1,1,winter,59.93233333333333,51.54041666666667,24.354933333333335,35.878442857142865,39.034237777777776
2023-02-12T00:00:00.000+05:30,31.2935,240.09850000000003,5.503472222222222,0.0949333333333333,2227.0,399.0,11517.0,2023,2,12,1,1,1,winter,27.421333333333333,33.0444,53.113566666666664,36.43160952380953,38.30690222222222
2023-02-13T00:00:00.000+05:30,23.575766666666667,241.16685416666667,4.14375,0.0935263888888888,0.0,2828.0,6256.0,2023,2,13,2,1,0,winter,21.224666666666668,28.4633,50.183816666666665,36.76748095238095,37.41996722222222
2023-02-14T00:00:00.000+05:30,41.644533333333335,240.3753888888889,7.315138888888888,0.1406291666666666,3295.0,3793.0,11579.0,2023,2,14,3,1,0,winter,38.8003,39.39586666666666,35.811299999999996,37.17380000000001,37.61440833333334
